lineup_id,player0,player1,player2,player3,off_rating,def_rating,eff_fg,reb_rate,to_rate,ft_rate,num_poss,clinch_rating,eff_fg_value,reb_rate_value,to_rate_value,ft_rate_value,
49,Arcidiacono,Bridges,Brunson,Ochefu,120,103.6,3.039999981,1.621757008,1.175862093,0.948485714,115.8,6.786104796,57.8,50.1,17.3,23.3,
33,Bridges,Brunson,Jenkins,Reynolds,110.8,115.3,2.906666648,1.628245031,0.744827613,1.5,155.2,6.779739292,56.8,50.2,19.3,32.9,
29,Booth,Hart,Jenkins,Reynolds,104.9,94.6,1.879999984,1.881277928,2.081034501,0.930571428,183,6.772883841,49.1,54.1,13.1,23,
5,Brunson,Hart,Jenkins,Ochefu,112.1,80.1,2.853333315,1.543900732,1.456034505,0.906685714,513.1,6.759954265,56.4,48.9,16,22.6,
14,Arcidiacono,Booth,Bridges,Hart,112.6,106.6,2.879999981,1.310331904,1.434482781,1.032085714,267.4,6.65690038,56.6,45.3,16.1,24.7,
38,Booth,Brunson,Jenkins,Ochefu,109.5,86.9,3.106666647,1.401164226,0.809482785,1.3008,137,6.618113658,58.3,46.7,19,29.2,
35,Bridges,Brunson,Hart,Reynolds,104.8,87.8,1.679999984,1.770981537,1.650000021,1.5,152.7,6.600981542,47.6,52.4,15.1,35.4,
116,Hart,Jenkins,Ochefu,Jenkins,220,40,4,2,0.593965545,0,5,6.593965545,137.5,80,20,0,
115,Booth,Bridges,DiVincenzo,Ochefu,140,60,4,2,0.593965545,0,5,6.593965545,70.0,60,20,0,
113,Booth,DiVincenzo,Jenkins,Ochefu,140,60,4,2,0.593965545,0,5,6.593965545,70.0,60,20,0,
18,Booth,Hart,Jenkins,Ochefu,116.9,84.3,3.119999981,0.817242156,1.154310369,1.5,236.1,6.591552506,58.4,37.7,17.4,33,
70,Booth,Bridges,Ochefu,Reynolds,127.9,121.2,2.506666649,2,0.550862097,1.5,14.9,6.557528746,53.8,74.1,20.2,40.4,
71,Bridges,Brunson,Ochefu,Reynolds,118.3,146.1,1.106666652,2,1.908620709,1.5,14.4,6.515287361,43.3,76.5,13.9,34.8,
168,Arcidiacono,DiVincenzo,Ochefu,Farrell,200,0,1.999999983,2,2.5,0,1,6.499999983,50.0,100,0,0,
60,Arcidiacono,Hart,Ochefu,Reynolds,125,141.1,4,0.985930754,0,1.485914285,24.8,6.471845039,70.6,40.3,28.2,32.3,
44,Booth,Brunson,Jenkins,Reynolds,105.5,111.9,2.599999982,1.45306841,1.262068989,1.097771428,124.2,6.412908809,54.5,47.5,16.9,25.8,
117,Bridges,DiVincenzo,Hart,Ochefu,121.2,141.4,3.333333313,0.992418777,0.550862097,1.5,5,6.376614187,60.0,40.4,20.2,40.4,
31,Booth,Bridges,Hart,Reynolds,97.5,96.4,1.093333319,1.946158158,2.059482777,1.235114285,174.3,6.334088539,43.2,55.1,13.2,28.1,
61,Booth,Hart,Ochefu,Reynolds,111,98.2,4,2,0,0.321485714,23.4,6.321485714,73.5,64,25.6,12.8,
13,Arcidiacono,Booth,Hart,Reynolds,104.4,95.5,2.213333316,1.686637238,1.714655193,0.691714285,283.7,6.306340033,51.6,51.1,14.8,19,
24,Booth,Bridges,Jenkins,Reynolds,101,95.8,1.453333318,1.816397698,1.542241401,1.396342857,210.9,6.208315274,45.9,53.1,15.6,30.8,
36,Bridges,Hart,Jenkins,Reynolds,109.5,84.1,1.999999983,1.965622227,0.723275889,1.5,149.8,6.188898099,50.0,55.4,19.4,44.7,
41,Arcidiacono,Bridges,Brunson,Jenkins,114.2,99.3,2.693333315,0.940514593,1.197413817,1.3426,134,6.173861724,55.2,39.6,17.2,29.9,
84,Bridges,Jenkins,Ochefu,Reynolds,114.6,162.3,4,2,0,0.124428571,10.5,6.124428571,68.8,76.4,28.6,9.5,
85,Bridges,Farrell,Rafferty,Reynolds,100,100,1.999999983,1.615268985,2.5,0,10,6.115268968,50.0,50,10,0,
22,Arcidiacono,Bridges,Jenkins,Reynolds,104.5,94.8,1.879999984,1.58282887,1.218965541,1.432171428,216.3,6.113965823,49.1,49.5,17.1,31.4,
108,Arcidiacono,DiVincenzo,Hart,Ochefu,93.4,93.4,0.666666653,1.401164226,2.5,1.5,6.4,6.067830879,40.0,46.7,0,46.7,
47,Arcidiacono,Bridges,Brunson,Reynolds,109,94.3,2.06666665,1.433604341,1.046551749,1.5,123,6.04682274,50.5,47.2,17.9,34.2,
153,Booth,Hart,Ochefu,Rafferty,100,0,4,2,0,0,2,6,100.0,100,50,0,
114,Arcidiacono,DiVincenzo,Jenkins,Reynolds,80,100,4,2,0,0,5,6,66.7,60,40,0,
17,Arcidiacono,Bridges,Hart,Reynolds,103.3,96.4,1.586666651,1.764493514,1.111206921,1.5,244.8,5.962367086,46.9,52.3,17.6,35.9,
40,Arcidiacono,Booth,Brunson,Jenkins,102.5,92.1,2.506666649,1.264915743,1.068103473,1.109714285,134.6,5.94940015,53.8,44.6,17.8,26,
28,Arcidiacono,Booth,Bridges,Reynolds,101.7,100.6,1.666666651,1.530924686,1.628448297,1.061942857,190.8,5.887982491,47.5,48.7,15.2,25.2,
19,Arcidiacono,Booth,Jenkins,Reynolds,97.7,90.4,1.533333318,1.485508525,2.037931053,0.709628571,233.4,5.766401467,46.5,48,13.3,19.3,
48,Booth,Brunson,Hart,Jenkins,106.8,113.4,2.679999982,1.271403766,0.809482785,0.990285714,120.8,5.751172247,55.1,44.7,19,24,
87,Brunson,DiVincenzo,Jenkins,Ochefu,111.1,151.5,0,1.6477091,2.5,1.5,9.9,5.6477091,35.0,50.5,10.1,40.4,
55,Arcidiacono,Booth,Bridges,Brunson,114.5,82.9,3.226666647,1.187059467,0,1.205257142,50.7,5.618983256,59.2,43.4,25.7,27.6,
67,Arcidiacono,DiVincenzo,Hart,Reynolds,153.3,73.3,4,0.966466685,0.593965545,0,15,5.56043223,88.5,40,20,0,
59,Arcidiacono,Booth,Ochefu,Reynolds,144.6,128.5,4,0.453912868,0.572413821,0.518542857,24.9,5.544869546,82.5,32.1,20.1,16.1,
69,Bridges,Brunson,DiVincenzo,Reynolds,67.3,40.4,0,2,1.994827605,1.5,14.9,5.494827605,23.5,87.5,13.5,40.4,
111,Booth,Jenkins,Ochefu,Reynolds,109.6,91.3,4,0.73938588,0,0.649914285,5.5,5.389300165,125.0,36.5,54.8,18.3,
72,Bridges,Hart,Ochefu,Reynolds,71.9,93.5,0,2,1.800862089,1.276914285,13.9,5.077776374,25.0,64.7,14.4,28.8,
94,Arcidiacono,DiVincenzo,Jenkins,Ochefu,112.5,175,1.999999983,0.80426611,2.210344845,0,8,5.014610938,50.0,37.5,12.5,0,
110,Arcidiacono,Brunson,DiVincenzo,Jenkins,116.7,133.3,1.999999983,1.615268985,1.305172437,0,6,4.920441405,50.0,50,16.7,0,
65,Brunson,Hart,Ochefu,Reynolds,80.6,115.1,1.439999985,2,0,1.276914285,17.4,4.71691427,45.8,74.8,28.8,28.8,
62,Booth,DiVincenzo,Jenkins,Reynolds,94.1,77,0.546666654,2,1.218965541,0.835028571,23.4,4.600660766,39.1,85.6,17.1,21.4,
64,Bridges,DiVincenzo,Jenkins,Reynolds,68.6,77.8,0,2,0.960344853,1.199285714,21.9,4.159630567,26.2,82.4,18.3,27.5,
125,DiVincenzo,Hart,Jenkins,Hart,0,126.6,0,0.012727304,2.5,1.5,4,4.012727304,0.0,25.3,0,50.6,
162,Bridges,Brunson,DiVincenzo,Rafferty,102.6,359,0,0,2.5,1.5,2,4,0.0,0,0,102.6,
150,Booth,Bridges,Farrell,Reynolds,103.4,206.9,0,0,2.5,1.5,2.9,4,0.0,0,0,137.9,
56,Booth,Bridges,DiVincenzo,Reynolds,51.6,105.5,0,2,0.356896581,1.5,42.7,3.856896581,15.9,79.7,21.1,32.8,
89,Arcidiacono,Brunson,DiVincenzo,Hart,31.8,84.9,0,2,0.335344857,1.456057142,9.4,3.791401999,7.7,137.9,21.2,31.8,
57,Booth,Bridges,DiVincenzo,Jenkins,95.3,91.9,0.666666653,2,0.507758649,0.572285714,29.4,3.746711016,40.0,78.3,20.4,17,
92,Hart,Jenkins,Ochefu,Reynolds,101.7,101.7,1.999999983,0,0.033620721,1.5,8.9,3.533620704,50.0,11.3,22.6,67.8,
105,Brunson,Farrell,Rafferty,Reynolds,86.3,100.7,1.999999983,0.239808109,0,1.276914285,7,3.516722378,50.0,28.8,28.8,28.8,
93,Booth,Bridges,Brunson,DiVincenzo,11.9,95,0,2,0,1.5,8.4,3.5,0.0,130.6,23.7,35.6,
131,Bridges,Brunson,DiVincenzo,Jenkins,75.9,126.6,0,1.654197123,0,1.5,4,3.154197123,33.3,50.6,25.3,50.6,
163,Booth,Brunson,Farrell,Hart,0,200,0,0,2.5,0,1,2.5,0.0,0,0,0,
145,Bridges,Brunson,Rafferty,Reynolds,0,233.3,0,0,2.5,0,3,2.5,0.0,0,0,0,
142,Brunson,DiVincenzo,Ochefu,Reynolds,0,233.3,0,0,2.5,0,3,2.5,0.0,0,0,0,
95,Booth,Bridges,DiVincenzo,Hart,75,112.5,0.333333321,2,0,0,8,2.333333321,37.5,62.5,37.5,0,
177,Bridges,DiVincenzo,Farrell,Ochefu,0,0,0,2,0,0,1,2,0.0,200,100,0,
147,Arcidiacono,Booth,DiVincenzo,Farrell,66.7,166.7,1.999999983,0,0,0,3,1.999999983,50.0,0,33.3,0,
140,Bridges,Brunson,Farrell,Reynolds,66.7,166.7,1.999999983,0,0,0,3,1.999999983,50.0,0,33.3,0,
78,DiVincenzo,Farrell,Rafferty,Reynolds,36.4,100,0.666666653,1.32330795,0,0,11,1.989974603,40.0,45.5,63.6,0,
77,Booth,DiVincenzo,Hart,Reynolds,36.4,100,0.666666653,1.32330795,0,0,11,1.989974603,40.0,45.5,63.6,0,
80,Bridges,DiVincenzo,Hart,Reynolds,27.4,63.9,0,0.148975787,0.960344853,0.649914285,11,1.759234925,11.1,27.4,18.3,18.3,
